StaffId	BuildingId	EmployeeTypeId	JobTitleId	Status	FiscalYear
6741	CHS	IA	SpEd	Active	2014
6742	VES	IA	SOL	Active	2014
6743	LMS	TEA	Eng	Active	2015
6744	VES	IA	TI	Active	2014
806001	VES	ADM	Prin	Active	2014
806002	CHS	SEC	SchSec	Active	2014
806007	KES	TEA	Art	Active	2014
806007	VES	TEA	Art	Active	2014
806008	KES	TEA	SpEd	Active	2014
806009	KES	TEA	03	Active	2014
806010	LMS	TEA	Eng	Active	2014
806013	VES	TEA	02	Active	2014
806014	CHS	SEC	Bookpr	Active	2014
806015	VES	TEA	05	Active	2014
806017	VES	TEA	05	Active	2014
806019	VES	IA	T1	Active	2014
806020	SBO	ADM	Superintendent	Active	2014
806022	VES	SEC	Bookpr	Active	2014
806026	CHS	TEA	Lib	Active	2014
806027	LMS	SEC	Bookpr	Active	2014
806032	KES	TEA	PK	Active	2014
806034	SBO	ADM	Direct Instr	Active	2014
806037	LMS	SEC	LibAsst	Active	2014
806041	KES	IA	SpEd	Active	2014
806045	CHS	TEA	SpEd	Active	2014
806051	KES	IA	SpEd	Active	2014
806053	KES	COU	Guid	Active	2014
806055	VES	CUS	Cust	Active	2014
806057	LMS	IA	SpEd	Active	2014
806059	KES	TEA	T1	Active	2014
806065	KES	ADM	AsstPrin	Active	2014
806065	VES	ADM	AsstPrin	Active	2012
806074	VES	TEA	04	Active	2014
806081	LMS	TEA	SS	Active	2014
806084	SBO	SEC	SecSuper	Active	2014
806086	LMS	TEA	PE	Active	2014
806090	KES	TEA	Music	Active	2014
806090	VES	TEA	Music	Active	2014
806095	KES	TEA	SpEd	Active	2014
806101	VES	TEA	01	Active	2014
806102	KES	TEA	KG	Active	2014
806112	CHS	TEA	Eng	Active	2014
806113	SBO	MAN	GrndCrew	Active	2014
806117	VES	TEA	03	Active	2014
806118	LMS	TEA	Math	Active	2014
806121	LMS	TEA	SpEd	Active	2014
806122	CHS	TEA	SpEd	Active	2014
806125	KES	IA	PK	Active	2014
806130	VES	TEA	KG	Active	2014
806133	KES	SEC	SchSec	Active	2014
806134	SBO	MAN	Painter	Active	2014
806135	LMS	TEA	CarDev	Active	2014
806136	VES	TEA	01	Active	2014
806138	VES	COU	Guid	Active	2014
806139	SBO	ADM	DirSpEd	Active	2014
806140	KES	TEA	LEP	Active	2014
806140	VES	TEA	LEP	Active	2014
806146	CHS	TEA	Art	Active	2014
806153	VES	TEA	Lib	Active	2014
806155	NON	NON	FamPre	Active	2012
806158	SBO	SEC	FedPgm	Active	2014
806167	SBO	ADM	DirInst	Active	2014
806168	LMS	TEA	Math	Active	2014
806169	LMS	TEA	SpEd	Active	2014
806171	VES	TEA	KG	Active	2014
806173	LMS	TEA	PE	Active	2014
806179	KES	TEA	02	Active	2014
806180	KES	TEA	05	Active	2014
806182	KES	TEA	PK	Active	2014
806183	CHS	TEA	PE	Active	2014
806185	SBO	TEA	LEP	Active	2014
806185	SBO	TEA	LEP	Inactive	2014
806186	SBO	ADM	DirFin	Active	2014
806188	KES	TEA	02	Active	2014
806189	KES	TEA	KG	Active	2014
806195	LMS	ADM	Prin	Active	2014
806199	LMS	IA	SpEd	Active	2014
806200	KES	TEA	PE	Active	2014
806200	VES	TEA	PE	Active	2014
806205	SBO	SEC	SecPer	Active	2014
806224	CHS	TEA	Mrktg	Active	2014
806225	LMS	TEA	Lib	Active	2014
806239	KES	TEA	01	Active	2014
806241	CHS	IA	SpEd	Active	2014
806242	KES	TEA	05	Active	2014
806243	CHS	TEA	Eng	Active	2014
806249	KES	SEC	Bookpr	Active	2014
806250	SBO	ADM	SupTech	Active	2014
806253	CHS	TEA	Math	Active	2014
806257	LMS	TEA	Eng	Active	2014
806261	LMS	TEA	Sci	Active	2014
806264	VES	NUR	Nurse	Active	2014
806276	VES	CUS	Cust	Active	2014
806280	LMS	TEA	SS	Active	2014
806284	LMS	TEA	Eng	Active	2014
806286	SBO	TRA	Mech	Active	2014
806287	NON	NON	FamPre	Active	2014
806290	CHS	TEA	Sci	Active	2014
806294	VES	TEA	T1	Active	2014
806298	CHS	NUR	Nurse	Active	2014
806301	CHS	TEA	Sci	Active	2014
806302	LMS	COU	Guid	Active	2014
806399	KES	IA	T1	Active	2014
806422	SBO	MAN	GrndCrew	Active	2014
806423	LMS	CUS	Cust	Active	2014
806423	LMS	CUS	Cust	Inactive	2014
806424	KES	IA	T1	Active	2014
806442	VES	TEA	01	Active	2014
806450	KES	IA	PK	Active	2014
806459	KES	TEA	SpEd	Active	2014
806460	SBO	MAN	MntCrew	Active	2014
806464	LMS	TEA	Eng	Active	2014
806469	VES	TEA	SpEd	Active	2014
806478	CHS	TEA	Spn	Active	2014
806480	LMS	NUR	Nurse	Active	2014
806483	LMS	CUS	Cust	Active	2014
806485	LMS	TEA	Eng	Active	2014
806487	LMS	IA	Math	Active	2014
806491	CHS	TEA	Business	Active	2014
806499	SBO	SEC	SecSpEd	Active	2014
806500	LMS	IA	SpEd	Active	2014
806506	VES	TEA	KG	Active	2014
806507	CHS	TEA	Sci	Active	2014
806508	KES	TEA	Lib	Active	2014
806511	VES	TEA	SpEd	Active	2014
806519	LMS	TEA	Eng	Active	2014
806521	KES	NUR	Nurse	Active	2014
806523	CHS	TEA	Agri	Active	2014
806528	KES	TEA	01	Active	2014
806530	LMS	TEA	SpEd	Active	2014
806531	SBO	MAN	MntCrew	Inactive	2014
806532	KES	IA	SpEd	Active	2014
806540	CHS	COU	Guid	Active	2014
806543	SBO	ADM	ParentInvolvement	Active	2014
806544	SBO	SEC	SecTrns	Active	2014
806545	SBO	SEC	Recpt	Active	2014
806546	CHS	TEA	PE	Active	2014
806548	KES	TEA	01	Active	2014
806549	VES	TEA	05	Active	2014
806551	CHS	TEA	Agri	Active	2014
806551	LMS	TEA	Agri	Active	2014
806552	VES	TEA	SpEd	Active	2014
806556	CHS	TEA	Art	Active	2014
806557	LMS	TEA	CarDev	Active	2014
806558	VES	TEA	02	Active	2014
806560	LMS	TEA	Art	Active	2014
